Number,Steps,Path
1,0,[1]
2,1,"[2, 1]"
3,7,"[3, 10, 5, 16, 8, 4, 1, 1]"
4,2,"[4, 1, 1]"
5,5,"[5, 16, 8, 1, 1, 1]"
6,8,"[6, 10, 5, 16, 8, 4, 1, 1, 1]"
7,16,"[7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1]"
8,3,"[8, 1, 1, 1]"
9,19,"[9, 28, 14, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1]"
10,6,"[10, 16, 8, 1, 1, 1, 1]"
11,14,"[11, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1]"
12,9,"[12, 10, 5, 16, 8, 4, 1, 1, 1, 1]"
13,9,"[13, 40, 20, 16, 8, 1, 1, 1, 1, 1]"
14,17,"[14, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1]"
15,17,"[15, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 16, 8, 1, 1, 1, 1, 1]"
16,4,"[16, 1, 1, 1, 1]"
17,12,"[17, 52, 26, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1]"
18,20,"[18, 28, 14, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1, 1]"
19,20,"[19, 58, 29, 88, 44, 22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1]"
20,7,"[20, 16, 8, 1, 1, 1, 1, 1]"
21,7,"[21, 64, 32, 1, 1, 1, 1, 1]"
22,15,"[22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1]"
23,15,"[23, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1]"
24,10,"[24, 10, 5, 16, 8, 4, 1, 1, 1, 1, 1]"
25,23,"[25, 76, 38, 58, 29, 88, 44, 22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1]"
26,10,"[26, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1]"
